customer_id,time_period,after,treatment_group,sales
660,1,0,treatment,0
627,1,0,treatment,5.81
362,1,0,control,0
329,1,0,control,13.96
826,1,0,treatment,2.87
31,1,0,control,0
528,1,0,treatment,5.48
760,1,0,treatment,0
727,1,0,treatment,6.35
959,1,0,treatment,5.44
926,1,0,treatment,4.2
661,1,0,treatment,4.28
628,1,0,treatment,5.71
363,1,0,control,0
330,1,0,control,1.64
827,1,0,treatment,4.59
32,1,0,control,0
529,1,0,treatment,2.71
761,1,0,treatment,0
728,1,0,treatment,2.33
960,1,0,treatment,0
927,1,0,treatment,6.75
662,1,0,treatment,1.49
629,1,0,treatment,0
364,1,0,control,0
331,1,0,control,3.07
828,1,0,treatment,2.53
33,1,0,control,1.92
530,1,0,treatment,2.98
762,1,0,treatment,3.24
729,1,0,treatment,0
961,1,0,treatment,0
928,1,0,treatment,3.26
663,1,0,treatment,0
630,1,0,treatment,8.56
365,1,0,control,0
332,1,0,control,0
829,1,0,treatment,5.62
34,1,0,control,1.63
531,1,0,treatment,0
763,1,0,treatment,0
498,1,0,control,0
962,1,0,treatment,0
200,1,0,control,0
664,1,0,treatment,3.66
399,1,0,control,6.84
366,1,0,control,4.14
863,1,0,treatment,1.71
830,1,0,treatment,0
35,1,0,control,0
532,1,0,treatment,0
764,1,0,treatment,0
499,1,0,control,0
963,1,0,treatment,0.79
201,1,0,control,0
665,1,0,treatment,0.72
400,1,0,control,0
367,1,0,control,0.59
864,1,0,treatment,7.77
831,1,0,treatment,1.01
36,1,0,control,0
533,1,0,treatment,0
765,1,0,treatment,9.3
500,1,0,control,0.63
964,1,0,treatment,0
202,1,0,control,0
666,1,0,treatment,4.12
401,1,0,control,5.65
368,1,0,control,0
865,1,0,treatment,4.76
832,1,0,treatment,0
37,1,0,control,0
534,1,0,treatment,4.44
766,1,0,treatment,0
501,1,0,treatment,1.14
965,1,0,treatment,0.3
203,1,0,control,0
667,1,0,treatment,0.16
402,1,0,control,3.87
369,1,0,control,0.94
866,1,0,treatment,0
833,1,0,treatment,1.42
38,1,0,control,0
535,1,0,treatment,1.41
767,1,0,treatment,6.29
502,1,0,treatment,0
966,1,0,treatment,4.39
204,1,0,control,8.7
668,1,0,treatment,0
403,1,0,control,0
370,1,0,control,0
867,1,0,treatment,1.41
834,1,0,treatment,3.51
39,1,0,control,0
536,1,0,treatment,3.09
768,1,0,treatment,3.85
503,1,0,treatment,2.61
967,1,0,treatment,5.65
205,1,0,control,0
669,1,0,treatment,5.54
404,1,0,control,0
371,1,0,control,5.86
868,1,0,treatment,2.3
835,1,0,treatment,5.04
40,1,0,control,3.62
537,1,0,treatment,8.3
769,1,0,treatment,0
272,1,0,control,3.41
968,1,0,treatment,2.51
206,1,0,control,0
670,1,0,treatment,7.73
405,1,0,control,6.99
372,1,0,control,3.01
869,1,0,treatment,7.75
836,1,0,treatment,0
41,1,0,control,0
538,1,0,treatment,0
770,1,0,treatment,2.03
273,1,0,control,0
969,1,0,treatment,0
207,1,0,control,0
671,1,0,treatment,1.3
406,1,0,control,0.79
373,1,0,control,0
870,1,0,treatment,0
837,1,0,treatment,0
42,1,0,control,8.86
539,1,0,treatment,5.24
771,1,0,treatment,7.62
274,1,0,control,0.51
970,1,0,treatment,0.34
208,1,0,control,4.12
672,1,0,treatment,3.33
407,1,0,control,0
374,1,0,control,0.43
871,1,0,treatment,0
838,1,0,treatment,2.65
43,1,0,control,7.86
540,1,0,treatment,1.45
772,1,0,treatment,2.69
275,1,0,control,0
971,1,0,treatment,10.14
209,1,0,control,0
673,1,0,treatment,0
408,1,0,control,0
375,1,0,control,6.45
872,1,0,treatment,0
839,1,0,treatment,0
44,1,0,control,4.45
541,1,0,treatment,1.71
773,1,0,treatment,3.64
276,1,0,control,0
972,1,0,treatment,0.47
210,1,0,control,2.77
674,1,0,treatment,7.48
409,1,0,control,0.04
376,1,0,control,8.41
873,1,0,treatment,6.54
840,1,0,treatment,0
45,1,0,control,7.04
542,1,0,treatment,1.1
774,1,0,treatment,3.78
277,1,0,control,2.74
973,1,0,treatment,0
211,1,0,control,0
675,1,0,treatment,4.38
410,1,0,control,0
377,1,0,control,0
874,1,0,treatment,3.55
841,1,0,treatment,3.81
46,1,0,control,3.56
543,1,0,treatment,2.91
775,1,0,treatment,0.34
278,1,0,control,0
974,1,0,treatment,4.67
212,1,0,control,0.61
676,1,0,treatment,1.98
411,1,0,control,11.6
378,1,0,control,6.3
875,1,0,treatment,0
842,1,0,treatment,0
47,1,0,control,0
544,1,0,treatment,5.58
776,1,0,treatment,0
279,1,0,control,5.62
975,1,0,treatment,2.33
213,1,0,control,2.36
677,1,0,treatment,4.73
412,1,0,control,2.43
379,1,0,control,0
876,1,0,treatment,3.57
843,1,0,treatment,0
48,1,0,control,3.03
545,1,0,treatment,6.26
777,1,0,treatment,5.58
280,1,0,control,11.28
976,1,0,treatment,0
214,1,0,control,0
678,1,0,treatment,0
413,1,0,control,0
380,1,0,control,0
877,1,0,treatment,0
844,1,0,treatment,0
49,1,0,control,3.81
546,1,0,treatment,5.52
778,1,0,treatment,1.54
281,1,0,control,3.9
977,1,0,treatment,5.19
215,1,0,control,0
679,1,0,treatment,0
414,1,0,control,0
381,1,0,control,0
878,1,0,treatment,0
845,1,0,treatment,10.34
50,1,0,control,6.03
547,1,0,treatment,0
779,1,0,treatment,1.18
282,1,0,control,1.82
978,1,0,treatment,1.09
216,1,0,control,5.46
680,1,0,treatment,4.34
415,1,0,control,0
382,1,0,control,2.83
879,1,0,treatment,5.66
846,1,0,treatment,0
51,1,0,control,0
548,1,0,treatment,6.26
780,1,0,treatment,0
283,1,0,control,0
979,1,0,treatment,6.72
217,1,0,control,4.33
681,1,0,treatment,0
416,1,0,control,0
383,1,0,control,0
880,1,0,treatment,0
847,1,0,treatment,3.25
52,1,0,control,0
549,1,0,treatment,4.96
781,1,0,treatment,2.02
284,1,0,control,2.04
980,1,0,treatment,4.62
218,1,0,control,0
682,1,0,treatment,0
417,1,0,control,2.7
384,1,0,control,0
881,1,0,treatment,1.26
848,1,0,treatment,2.49
53,1,0,control,4.8
550,1,0,treatment,7.44
782,1,0,treatment,0
285,1,0,control,0
981,1,0,treatment,0
219,1,0,control,0
683,1,0,treatment,1.66
418,1,0,control,0
385,1,0,control,3.22
882,1,0,treatment,0
849,1,0,treatment,0
54,1,0,control,0
551,1,0,treatment,4.41
783,1,0,treatment,2.9
286,1,0,control,3.85
982,1,0,treatment,9.18
220,1,0,control,0
684,1,0,treatment,0
419,1,0,control,0
386,1,0,control,1.77
883,1,0,treatment,1.83
850,1,0,treatment,0
55,1,0,control,0
552,1,0,treatment,12.01
784,1,0,treatment,0
287,1,0,control,0
983,1,0,treatment,13.29
221,1,0,control,0
685,1,0,treatment,12.31
420,1,0,control,0.43
387,1,0,control,5.58
884,1,0,treatment,1.62
851,1,0,treatment,0
56,1,0,control,4.21
553,1,0,treatment,0
785,1,0,treatment,4.97
288,1,0,control,0.14
984,1,0,treatment,3.64
222,1,0,control,5.47
686,1,0,treatment,0
421,1,0,control,1.11
388,1,0,control,4.06
885,1,0,treatment,0
852,1,0,treatment,14.54
57,1,0,control,5.81
554,1,0,treatment,0
786,1,0,treatment,0
289,1,0,control,0
985,1,0,treatment,0
223,1,0,control,0
687,1,0,treatment,7.85
422,1,0,control,0
389,1,0,control,10.03
886,1,0,treatment,10.75
853,1,0,treatment,1.6
58,1,0,control,0
555,1,0,treatment,9.9
787,1,0,treatment,0
290,1,0,control,2.39
986,1,0,treatment,0
224,1,0,control,0
688,1,0,treatment,4.43
423,1,0,control,0
390,1,0,control,0
887,1,0,treatment,0
854,1,0,treatment,15.8
59,1,0,control,5.57
556,1,0,treatment,0
788,1,0,treatment,9
291,1,0,control,0
987,1,0,treatment,6.58
225,1,0,control,0
689,1,0,treatment,0
424,1,0,control,0.61
391,1,0,control,0.42
888,1,0,treatment,7.1
855,1,0,treatment,7.91
60,1,0,control,7.08
557,1,0,treatment,8.84
789,1,0,treatment,0
292,1,0,control,6.54
988,1,0,treatment,8.06
226,1,0,control,4.59
690,1,0,treatment,4.04
425,1,0,control,0
392,1,0,control,2.54
889,1,0,treatment,4.62
856,1,0,treatment,5.46
61,1,0,control,0
558,1,0,treatment,2.48
790,1,0,treatment,0
293,1,0,control,0.5
989,1,0,treatment,5.84
227,1,0,control,0
691,1,0,treatment,5.77
426,1,0,control,1.05
393,1,0,control,0
890,1,0,treatment,0.58
857,1,0,treatment,0
62,1,0,control,4.79
559,1,0,treatment,0
791,1,0,treatment,1.27
294,1,0,control,4.07
990,1,0,treatment,6.43
228,1,0,control,7.84
692,1,0,treatment,0
427,1,0,control,7.99
394,1,0,control,0.62
891,1,0,treatment,0
858,1,0,treatment,0
63,1,0,control,0
560,1,0,treatment,0
792,1,0,treatment,6.09
295,1,0,control,0.95
991,1,0,treatment,0
229,1,0,control,0
693,1,0,treatment,0
428,1,0,control,2.25
395,1,0,control,0
892,1,0,treatment,6.84
859,1,0,treatment,4.56
64,1,0,control,11.94
561,1,0,treatment,3.56
793,1,0,treatment,0
296,1,0,control,8.82
992,1,0,treatment,0.14
230,1,0,control,0
694,1,0,treatment,0
429,1,0,control,0
396,1,0,control,6.83
893,1,0,treatment,10.42
860,1,0,treatment,3.56
65,1,0,control,3.29
562,1,0,treatment,0.3
794,1,0,treatment,1.15
297,1,0,control,0
993,1,0,treatment,0
231,1,0,control,0.78
695,1,0,treatment,0.62
430,1,0,control,0
397,1,0,control,0.35
894,1,0,treatment,0
861,1,0,treatment,0
66,1,0,control,0
563,1,0,treatment,0
795,1,0,treatment,3.45
298,1,0,control,0
994,1,0,treatment,0.89
232,1,0,control,6.3
696,1,0,treatment,0
431,1,0,control,7.11
398,1,0,control,0
895,1,0,treatment,0
862,1,0,treatment,0
67,1,0,control,0
564,1,0,treatment,9.26
796,1,0,treatment,2.62
299,1,0,control,5.39
266,1,0,control,2.77
233,1,0,control,0
465,1,0,control,6.3
432,1,0,control,4.57
167,1,0,control,0
134,1,0,control,0.82
101,1,0,control,0
68,1,0,control,0
565,1,0,treatment,0
138,1,0,control,6.15
105,1,0,control,0.91
267,1,0,control,0
234,1,0,control,3.96
466,1,0,control,0
433,1,0,control,7.09
168,1,0,control,0
135,1,0,control,1.07
102,1,0,control,0
69,1,0,control,0
566,1,0,treatment,0
139,1,0,control,0
106,1,0,control,3.04
268,1,0,control,3.06
235,1,0,control,0
467,1,0,control,0
434,1,0,control,0
169,1,0,control,7.64
136,1,0,control,0
103,1,0,control,3.51
70,1,0,control,2.8
567,1,0,treatment,0
140,1,0,control,16.39
107,1,0,control,4.9
269,1,0,control,2.31
236,1,0,control,1.47
468,1,0,control,0
435,1,0,control,0
170,1,0,control,0
137,1,0,control,0
104,1,0,control,0.1
71,1,0,control,3.67
568,1,0,treatment,0
141,1,0,control,0
108,1,0,control,0
270,1,0,control,0.7
237,1,0,control,4.73
469,1,0,control,0
436,1,0,control,6.06
171,1,0,control,0
241,1,0,control,0
473,1,0,control,0
72,1,0,control,4.29
569,1,0,treatment,3.74
142,1,0,control,0
109,1,0,control,3.82
271,1,0,control,5.17
238,1,0,control,4.91
470,1,0,control,0
437,1,0,control,1.89
172,1,0,control,0
242,1,0,control,2.83
474,1,0,control,1.67
73,1,0,control,6.87
570,1,0,treatment,4.33
143,1,0,control,0.21
110,1,0,control,0
77,1,0,control,8.22
239,1,0,control,0
471,1,0,control,7.18
438,1,0,control,4.25
173,1,0,control,0.94
243,1,0,control,0
475,1,0,control,0.51
74,1,0,control,0
571,1,0,treatment,0
144,1,0,control,4.6
111,1,0,control,0.49
78,1,0,control,2.17
240,1,0,control,0
472,1,0,control,2.14
439,1,0,control,5.24
174,1,0,control,8.82
244,1,0,control,0
476,1,0,control,0
75,1,0,control,0
572,1,0,treatment,0
145,1,0,control,0
112,1,0,control,0
79,1,0,control,3.01
576,1,0,treatment,0
149,1,0,control,10.64
440,1,0,control,0
175,1,0,control,6.03
245,1,0,control,1.3
477,1,0,control,2.8
76,1,0,control,0
573,1,0,treatment,0
146,1,0,control,0
113,1,0,control,0
80,1,0,control,0
577,1,0,treatment,0
150,1,0,control,0
441,1,0,control,0.37
176,1,0,control,0
246,1,0,control,7.24
478,1,0,control,0
445,1,0,control,9.17
574,1,0,treatment,0
147,1,0,control,5.01
114,1,0,control,2.58
81,1,0,control,9.54
578,1,0,treatment,2.46
151,1,0,control,0
442,1,0,control,1.09
177,1,0,control,0.72
247,1,0,control,4.64
479,1,0,control,0.92
446,1,0,control,0.13
575,1,0,treatment,0
148,1,0,control,7.59
115,1,0,control,0
82,1,0,control,1.94
579,1,0,treatment,0
152,1,0,control,0
443,1,0,control,0.57
178,1,0,control,0
248,1,0,control,1.38
480,1,0,control,2.69
447,1,0,control,3.52
182,1,0,control,1.57
252,1,0,control,0.22
116,1,0,control,4.03
83,1,0,control,0
580,1,0,treatment,0
153,1,0,control,3.47
444,1,0,control,4.69
179,1,0,control,0
249,1,0,control,0
481,1,0,control,5.37
448,1,0,control,5.23
183,1,0,control,2.02
253,1,0,control,0.36
117,1,0,control,2.8
84,1,0,control,1.07
581,1,0,treatment,4.11
154,1,0,control,7.25
121,1,0,control,0
180,1,0,control,1.25
250,1,0,control,3.4
482,1,0,control,3.55
449,1,0,control,4.7
184,1,0,control,0
254,1,0,control,0
118,1,0,control,0
85,1,0,control,0
582,1,0,treatment,5.25
155,1,0,control,0
122,1,0,control,4.14
181,1,0,control,8.83
251,1,0,control,0
483,1,0,control,3.89
450,1,0,control,10.87
185,1,0,control,2.48
255,1,0,control,0
119,1,0,control,3.09
86,1,0,control,1.3
583,1,0,treatment,13.01
156,1,0,control,1.24
123,1,0,control,2.6
90,1,0,control,6.36
587,1,0,treatment,4.21
484,1,0,control,6.66
451,1,0,control,0
186,1,0,control,7.89
256,1,0,control,4.92
120,1,0,control,9.53
87,1,0,control,2.31
584,1,0,treatment,0
157,1,0,control,0
124,1,0,control,3.47
91,1,0,control,0
588,1,0,treatment,0.32
485,1,0,control,0
452,1,0,control,0
187,1,0,control,0.29
257,1,0,control,0
489,1,0,control,0
88,1,0,control,0
585,1,0,treatment,2.54
158,1,0,control,0
125,1,0,control,0.54
92,1,0,control,4.98
589,1,0,treatment,0
486,1,0,control,7.37
453,1,0,control,1.78
188,1,0,control,0
258,1,0,control,0
490,1,0,control,8.17
89,1,0,control,0
586,1,0,treatment,0
159,1,0,control,2.17
126,1,0,control,1.12
93,1,0,control,0
590,1,0,treatment,0
487,1,0,control,0
454,1,0,control,3.22
189,1,0,control,0
259,1,0,control,0.85
491,1,0,control,6.58
458,1,0,control,0.48
193,1,0,control,0
160,1,0,control,2.84
127,1,0,control,1.33
94,1,0,control,0
591,1,0,treatment,6.78
488,1,0,control,6.63
455,1,0,control,10.61
190,1,0,control,0
260,1,0,control,0
492,1,0,control,0
459,1,0,control,0.07
194,1,0,control,7.15
161,1,0,control,5.48
128,1,0,control,0
95,1,0,control,0
592,1,0,treatment,1.64
165,1,0,control,5.27
456,1,0,control,1.11
191,1,0,control,0
261,1,0,control,0
493,1,0,control,3.96
460,1,0,control,7.07
195,1,0,control,6.12
162,1,0,control,0
129,1,0,control,0.53
96,1,0,control,5.12
593,1,0,treatment,3.07
166,1,0,control,0
457,1,0,control,0
192,1,0,control,0
262,1,0,control,3.2
494,1,0,control,1.68
461,1,0,control,0
196,1,0,control,5.09
163,1,0,control,0
130,1,0,control,1.88
97,1,0,control,1.98
594,1,0,treatment,2.5
497,1,0,control,0
264,1,0,control,0
496,1,0,control,0
263,1,0,control,0.8
495,1,0,control,0
462,1,0,control,0
197,1,0,control,0
164,1,0,control,0
131,1,0,control,0
98,1,0,control,0
595,1,0,treatment,0
199,1,0,control,0
265,1,0,control,0
198,1,0,control,0.16
464,1,0,control,0
132,1,0,control,1.55
463,1,0,control,0
596,1,0,treatment,2.16
100,1,0,control,9.59
99,1,0,control,2.05
133,1,0,control,0
597,1,0,treatment,5.4
507,2,0,treatment,0
506,2,0,treatment,0.28
567,2,0,treatment,3.65
566,2,0,treatment,1.13
508,2,0,treatment,0.2
565,2,0,treatment,0
534,2,0,treatment,5.67
505,2,0,treatment,0
533,2,0,treatment,2.28
504,2,0,treatment,2.07
532,2,0,treatment,0
509,2,0,treatment,7.66
568,2,0,treatment,0
535,2,0,treatment,3.75
546,2,0,treatment,10.12
513,2,0,treatment,2.75
572,2,0,treatment,0
539,2,0,treatment,3.18
550,2,0,treatment,7.42
517,2,0,treatment,0
576,2,0,treatment,2.24
543,2,0,treatment,5.39
510,2,0,treatment,0
569,2,0,treatment,4.48
536,2,0,treatment,6.43
547,2,0,treatment,0
514,2,0,treatment,2.65
573,2,0,treatment,0
540,2,0,treatment,3.15
551,2,0,treatment,5.45
518,2,0,treatment,0
577,2,0,treatment,1.2
544,2,0,treatment,6.34
511,2,0,treatment,0.96
570,2,0,treatment,4.33
537,2,0,treatment,8.58
548,2,0,treatment,7.16
515,2,0,treatment,1.31
574,2,0,treatment,0
541,2,0,treatment,3.26
552,2,0,treatment,11.03
519,2,0,treatment,3.83
578,2,0,treatment,3.67
545,2,0,treatment,9.3
512,2,0,treatment,0.27
571,2,0,treatment,0
538,2,0,treatment,0
549,2,0,treatment,4.43
516,2,0,treatment,5.85
575,2,0,treatment,1.69
542,2,0,treatment,3.95
553,2,0,treatment,0
520,2,0,treatment,4.81
579,2,0,treatment,0
590,2,0,treatment,0
557,2,0,treatment,8.94
524,2,0,treatment,11.24
583,2,0,treatment,14.6
594,2,0,treatment,3.28
561,2,0,treatment,2.07
528,2,0,treatment,7.61
587,2,0,treatment,6.26
554,2,0,treatment,0.61
521,2,0,treatment,0
580,2,0,treatment,1.3
591,2,0,treatment,6.34
558,2,0,treatment,4.28
525,2,0,treatment,4.92
584,2,0,treatment,0
595,2,0,treatment,1.65
562,2,0,treatment,2.64
529,2,0,treatment,3.12
588,2,0,treatment,0.8
555,2,0,treatment,10.6
522,2,0,treatment,7.09
581,2,0,treatment,3.18
592,2,0,treatment,3.26
559,2,0,treatment,0
526,2,0,treatment,9.42
585,2,0,treatment,3.07
596,2,0,treatment,1.72
563,2,0,treatment,0.61
530,2,0,treatment,2.58
589,2,0,treatment,0
556,2,0,treatment,1.3
523,2,0,treatment,1.59
582,2,0,treatment,6.58
593,2,0,treatment,2.27
560,2,0,treatment,0
527,2,0,treatment,0.51
586,2,0,treatment,0.57
597,2,0,treatment,8.45
564,2,0,treatment,10.63
531,2,0,treatment,0
995,2,0,treatment,0
730,2,0,treatment,9.11
697,2,0,treatment,0
929,2,0,treatment,0
896,2,0,treatment,0.42
631,2,0,treatment,9.63
598,2,0,treatment,4.69
101,2,0,control,0
333,2,0,control,3.53
300,2,0,control,7.2
797,2,0,treatment,4.73
996,2,0,treatment,0
731,2,0,treatment,0
698,2,0,treatment,9.14
930,2,0,treatment,5.62
897,2,0,treatment,1.68
632,2,0,treatment,2.76
599,2,0,treatment,12.31
102,2,0,control,0
334,2,0,control,0
301,2,0,control,0
798,2,0,treatment,0.79
997,2,0,treatment,0
732,2,0,treatment,5.95
699,2,0,treatment,4.74
931,2,0,treatment,7.17
898,2,0,treatment,3.69
633,2,0,treatment,0
600,2,0,treatment,2.87
103,2,0,control,3.85
335,2,0,control,0
302,2,0,control,0
799,2,0,treatment,7.12
998,2,0,treatment,0
733,2,0,treatment,3.46
700,2,0,treatment,0
932,2,0,treatment,6.37
899,2,0,treatment,1.9
634,2,0,treatment,0
601,2,0,treatment,3.81
104,2,0,control,4.68
336,2,0,control,1.34
303,2,0,control,3.92
800,2,0,treatment,9.38
